anio,mes,prov_id,grupo_edad,sexo,pob_mensual
2010,1,90,60 a 69 años,Femenino,48885
2010,1,90,60 a 69 años,Masculino,44157
2010,1,90,70 a 79 años,Femenino,30700
2010,1,90,70 a 79 años,Masculino,22656
2010,1,90,80+ años,Femenino,16936
2010,1,90,80+ años,Masculino,9437
2010,1,94,20 a 39 años,Femenino,21531
2010,1,94,20 a 39 años,Masculino,22562
2010,1,94,40 a 49 años,Femenino,8665
2010,1,94,40 a 49 años,Masculino,8932
2010,1,94,50 a 59 años,Femenino,5910
2010,1,94,50 a 59 años,Masculino,6577
2010,1,94,60 a 69 años,Femenino,2677
2010,1,94,60 a 69 años,Masculino,2766
2010,1,94,70 a 79 años,Femenino,1193
2010,1,94,70 a 79 años,Masculino,989
2010,1,94,80+ años,Femenino,532
2010,1,94,80+ años,Masculino,268
2010,2,2,20 a 39 años,Femenino,475235.679452055
2010,2,2,20 a 39 años,Masculino,450708.243835617
2010,2,2,40 a 49 años,Femenino,186009.621917808
2010,2,2,40 a 49 años,Masculino,164818.402739726
2010,2,2,50 a 59 años,Femenino,181251.767123288
2010,2,2,50 a 59 años,Masculino,146917.224657534
2010,2,2,60 a 69 años,Femenino,159407.561643836
2010,2,2,60 a 69 años,Masculino,116983.904109589
2010,2,2,70 a 79 años,Femenino,121929.189041096
2010,2,2,70 a 79 años,Masculino,75244.6849315069
2010,2,2,80+ años,Femenino,101717.134246575
2010,2,2,80+ años,Masculino,43161.3753424658
2010,2,6,20 a 39 años,Femenino,2393451.17808219
2010,2,6,20 a 39 años,Masculino,2377810.19178082
2010,2,6,40 a 49 años,Femenino,928481.838356164
2010,2,6,40 a 49 años,Masculino,888377.646575343
2010,2,6,50 a 59 años,Femenino,812211.742465754
2010,2,6,50 a 59 años,Masculino,750330.054794521
2010,2,6,60 a 69 años,Femenino,637275.515068493
2010,2,6,60 a 69 años,Masculino,548385.164383562
2010,2,6,70 a 79 años,Femenino,436628.101369863
2010,2,6,70 a 79 años,Masculino,311855.679452055
2010,2,6,80+ años,Femenino,273867.953424658
2010,2,6,80+ años,Masculino,131470.079452055
2010,2,10,20 a 39 años,Femenino,56650.2739726028
2010,2,10,20 a 39 años,Masculino,57131.6630136986
2010,2,10,40 a 49 años,Femenino,19877.2191780822
2010,2,10,40 a 49 años,Masculino,19951.8219178082
2010,2,10,50 a 59 años,Femenino,16672.1205479452
2010,2,10,50 a 59 años,Masculino,16755.6575342466
2010,2,10,60 a 69 años,Femenino,11713.0301369863
2010,2,10,60 a 69 años,Masculino,11032.0493150685
2010,2,10,70 a 79 años,Femenino,7400.70136986301
2010,2,10,70 a 79 años,Masculino,5706.50410958904
2010,2,10,80+ años,Femenino,4403.43835616438
2010,2,10,80+ años,Masculino,2415.3698630137
2010,2,14,20 a 39 años,Femenino,515123.539726027
2010,2,14,20 a 39 años,Masculino,511546.863013699
2010,2,14,40 a 49 años,Femenino,194748.008219178
2010,2,14,40 a 49 años,Masculino,185322.509589041
2010,2,14,50 a 59 años,Femenino,173932.824657534
2010,2,14,50 a 59 años,Masculino,159929.02739726
2010,2,14,60 a 69 años,Femenino,143020.301369863
2010,2,14,60 a 69 años,Masculino,121765.2
